"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
240010001001,100,1,733,39.6704707,-78.3878895,"4"
240010001002,100,2,1641,39.6796402,-78.5461225,"4"
240010001003,100,3,996,39.568845,-78.544429,"4"
240010002001,200,1,861,39.5962583,-78.6718297,"4"
240010002002,200,2,984,39.6858145,-78.6757386,"4"
240010002003,200,3,2252,39.6029095,-78.7351281,"4"
240010005001,500,1,1264,39.6512304,-78.7515545,"4"
240010005002,500,2,791,39.6563823,-78.7234271,"4"
240010006001,600,1,2221,39.6348149,-78.7384611,"4"
240010006002,600,2,860,39.6435019,-78.758192,"4"
240010007001,700,1,1584,39.6320113,-78.7495343,"4"
240010007002,700,2,1746,39.6350448,-78.7595283,"4"
240010008001,800,1,1127,39.6288831,-78.7630037,"4"
240010008002,800,2,775,39.6378322,-78.764542,"4"
240010010001,1000,1,1507,39.6605696,-78.7713227,"4"
240010010002,1000,2,619,39.6539278,-78.7641096,"4"
240010011001,1100,1,809,39.6520125,-78.7761127,"4"
240010011002,1100,2,622,39.6506141,-78.7681769,"4"
240010012001,1200,1,1011,39.6415139,-78.7843325,"4"
240010012002,1200,2,1888,39.653669,-78.792195,"4"
240010013001,1300,1,1114,39.6211214,-78.8149333,"4"
240010013002,1300,2,3876,39.6144171,-78.7965575,"4"
240010014011,1401,1,1228,39.619644,-78.8484848,"4"
240010014012,1401,2,2662,39.6716396,-78.8267587,"4"
240010014021,1402,1,1439,39.6519192,-78.8099723,"4"
240010015021,1502,1,1845,39.7081979,-78.8033273,"4"
240010015031,1503,1,614,39.7072218,-78.8424229,"4"
240010015032,1503,2,563,39.7091742,-78.8684222,"4"
240010015033,1503,3,539,39.6943408,-78.902847,"4"
240010016001,1600,1,1618,39.6898438,-78.9301097,"4"
240010017001,1700,1,1073,39.64167,-78.91717,"4"
240010017002,1700,2,1156,39.6490534,-78.9145933,"4"
240010017003,1700,3,2071,39.6632838,-78.8720813,"4"
240010018001,1800,1,1617,39.6590424,-78.9461338,"4"
240010018002,1800,2,644,39.6401658,-78.9360598,"4"
240010018003,1800,3,1630,39.6500874,-78.9328022,"4"
240010019001,1900,1,1453,39.6283985,-78.9326741,"4"
240010019002,1900,2,1061,39.5895729,-78.9205776,"4"
240010020001,2000,1,1491,39.5747569,-78.8317165,"4"
240010020002,2000,2,678,39.564116,-78.8950854,"4"
240010020003,2000,3,573,39.522914,-78.9277335,"4"
240010020004,2000,4,1045,39.5972,-78.8583383,"4"
240010020005,2000,5,1583,39.5851549,-78.8701655,"4"
240010021001,2100,1,1147,39.5361693,-78.9910925,"4"
240010021002,2100,2,771,39.5840368,-78.994448,"4"
240010021003,2100,3,1137,39.5612811,-78.9697149,"4"
240010022001,2200,1,948,39.4685382,-78.9722453,"4"
240010022002,2200,2,1175,39.4832522,-79.0586411,"4"
240010022003,2200,3,1561,39.4822054,-79.0130327,"4"
240010023001,2300,1,821,39.6589829,-78.757576,"4"
240010023002,2300,2,2058,39.6843864,-78.7270568,"4"
240010023003,2300,3,683,39.7055553,-78.7298094,"4"
240010023004,2300,4,1941,39.6878674,-78.7556991,"4"
240037011011,701101,1,1732,38.9355872,-76.5955168,"6"
240037011012,701101,2,2637,38.9420308,-76.5686167,"6"
240037011031,701103,1,1884,38.9349263,-76.552182,"6"
240037011032,701103,2,1806,38.9360966,-76.5415146,"6"
240037011041,701104,1,1469,38.9229362,-76.5524309,"6"
240037011042,701104,2,2614,38.9395838,-76.5570031,"6"
240037012011,701201,1,1610,38.8980954,-76.4981948,"6"
240037012012,701201,2,2254,38.8855188,-76.5101843,"6"
240037012021,701202,1,2809,38.9211943,-76.5298728,"6"
240037012022,701202,2,2159,38.8995199,-76.5217698,"6"
240037013011,701301,1,1856,38.9314473,-76.6642629,"6"
240037013012,701301,2,2147,38.9230399,-76.6070652,"6"
240037013021,701302,1,1366,38.8409659,-76.6454795,"6"
240037013022,701302,2,2669,38.8846719,-76.6447596,"6"
240037014001,701400,1,1407,38.9038888,-76.57222,"6"
240037014002,701400,2,2096,38.872325,-76.572429,"6"
240037021001,702100,1,2447,39.0677204,-76.6074128,"3"
240037021002,702100,2,1498,39.0378134,-76.5906079,"6"
240037021003,702100,3,1120,39.0542111,-76.5830031,"6"
240037021004,702100,4,1789,39.0507322,-76.571339,"6"
240037022041,702204,1,2223,38.9954401,-76.6811145,"2"
240037022042,702204,2,2242,38.9959538,-76.6992856,"2"
240037022051,702205,1,2104,39.0019564,-76.684774,"2"
240037022052,702205,2,2365,39.0122636,-76.6993523,"2"
240037022053,702205,3,1412,39.0088637,-76.688106,"2"
240037022061,702206,1,2919,39.005719,-76.6709441,"2"
240037022062,702206,2,1700,39.013569,-76.6737276,"2"
240037022063,702206,3,2032,39.0189806,-76.6668581,"2"
240037022081,702208,1,3475,39.0315098,-76.6636347,"2"
240037022082,702208,2,2105,39.0340266,-76.6763994,"2"
240037022083,702208,3,2664,39.0292873,-76.6782543,"2"
240037022091,702209,1,1267,39.0196702,-76.6810305,"2"
240037022092,702209,2,1512,39.0177102,-76.6872605,"2"
240037022093,702209,3,1621,39.0243386,-76.6825455,"2"
240037023001,702300,1,1853,38.9521363,-76.6254099,"6"
240037023002,702300,2,1561,38.9536058,-76.5952565,"6"
240037023003,702300,3,2385,38.9794332,-76.6636367,"2"
240037024021,702402,1,2056,38.9987016,-76.5596993,"6"
240037024022,702402,2,1566,38.9765291,-76.5659981,"6"
240037024023,702402,3,2165,38.9616318,-76.5634979,"6"
240037024024,702402,4,1586,38.9657717,-76.5534336,"6"
240037025001,702500,1,1394,38.9626798,-76.5424197,"6"
240037025002,702500,2,2031,38.9705794,-76.5267194,"6"
240037025003,702500,3,1507,38.9670085,-76.5314393,"6"
240037025004,702500,4,1918,38.949484,-76.524987,"6"
240037026011,702601,1,1430,38.93728,-76.4907311,"6"
240037026012,702601,2,1137,38.9496516,-76.5104615,"6"
240037026013,702601,3,1097,38.9268014,-76.5001265,"6"
240037026014,702601,4,2025,38.9388829,-76.5066358,"6"
240037026021,702602,1,2278,38.9211794,-76.4672565,"6"
240037026022,702602,2,786,38.9502108,-76.476443,"6"
240037026023,702602,3,1537,38.9348452,-76.4705083,"6"
240037026024,702602,4,1351,38.9464596,-76.4591213,"6"
240037027021,702702,1,1679,39.0275293,-76.5566816,"6"
240037027022,702702,2,2429,39.0096982,-76.5322605,"6"
240037027031,702703,1,1578,39.000691,-76.5132415,"6"
240037027032,702703,2,925,38.9924008,-76.5235472,"6"
240037027041,702704,1,1558,38.9892361,-76.5382262,"6"
240037027042,702704,2,1060,38.9942163,-76.529641,"6"
240037061021,706102,1,1335,38.9752115,-76.4933405,"6"
240037061022,706102,2,1002,38.980985,-76.4969629,"6"
240037061031,706103,1,786,38.9824622,-76.4925464,"6"
240037061032,706103,2,677,38.9777912,-76.4873228,"6"
240037063021,706302,1,1551,38.9618406,-76.4869218,"6"
240037063022,706302,2,812,38.968541,-76.485429,"6"
240037063023,706302,3,991,38.9720177,-76.4768825,"6"
240037063031,706303,1,1418,38.9522031,-76.4899027,"6"
240037063032,706303,2,1056,38.9574153,-76.4827478,"6"
240037063041,706304,1,1530,38.9591913,-76.4790832,"6"
240037063042,706304,2,719,38.9504437,-76.4670618,"6"
240037064021,706402,1,1386,38.9703926,-76.49288,"6"
240037064022,706402,2,2134,38.9638304,-76.4956003,"6"
240037064031,706403,1,2680,38.9607005,-76.5060624,"6"
240037064032,706403,2,1424,38.9670699,-76.5047492,"6"
240037064041,706404,1,1316,38.9536593,-76.4992105,"6"
240037064042,706404,2,1556,38.9570944,-76.496214,"6"
240037065001,706500,1,1445,38.9791236,-76.5309299,"6"
240037065002,706500,2,2403,38.9735494,-76.5167434,"6"
240037065003,706500,3,1663,38.9740075,-76.5038396,"6"
240037066001,706600,1,892,38.9963035,-76.4976207,"6"
240037066002,706600,2,986,38.980089,-76.5122522,"6"
240037066003,706600,3,1005,38.9842046,-76.5283759,"6"
240037066004,706600,4,2530,38.9860696,-76.5106437,"6"
240037067001,706700,1,621,38.985208,-76.4878325,"6"
240037070011,707001,1,1843,38.8228135,-76.550826,"6"
240037070012,707001,2,1788,38.8182711,-76.5080472,"6"
240037070013,707001,3,1679,38.8411476,-76.5254423,"6"
240037070014,707001,4,750,38.844902,-76.5031089,"6"
240037070021,707002,1,1462,38.7769771,-76.5524719,"6"
240037070022,707002,2,1121,38.795531,-76.536216,"6"
240037070023,707002,3,2077,38.8013221,-76.5239608,"6"
240037080011,708001,1,2489,38.7483483,-76.5739064,"6"
240037080012,708001,2,1303,38.7523857,-76.6088686,"6"
240037080041,708004,1,1243,38.7797164,-76.6933772,"6"
240037080042,708004,2,1503,38.8092252,-76.6671423,"6"
240037080043,708004,3,2007,38.8251428,-76.6875012,"6"
240037080044,708004,4,1450,38.7967771,-76.6217797,"6"
240037301011,730101,1,2311,39.1557034,-76.5598068,"3"
240037301021,730102,1,3533,39.1830397,-76.5528369,"3"
240037301022,730102,2,2275,39.1712729,-76.5239321,"3"
240037301023,730102,3,6475,39.1669533,-76.5676595,"3"
240037302041,730204,1,3204,39.1485734,-76.5814878,"3"
240037302042,730204,2,1162,39.1387212,-76.5851333,"3"
240037302043,730204,3,1388,39.1358425,-76.5733964,"3"
240037302044,730204,4,1265,39.1421261,-76.5706219,"3"
240037302051,730205,1,1025,39.1376613,-76.5893269,"3"
240037302052,730205,2,1320,39.1388785,-76.5968718,"3"
240037302061,730206,1,2043,39.1589931,-76.5900675,"3"
240037302062,730206,2,829,39.1414969,-76.5912611,"3"
240037302063,730206,3,526,39.1441902,-76.5947283,"3"
240037303001,730300,1,2069,39.1537232,-76.6069748,"3"
240037303002,730300,2,1240,39.1525539,-76.6110269,"3"
240037304011,730401,1,2205,39.1543857,-76.6232736,"3"
240037304012,730401,2,1283,39.1505253,-76.6362134,"3"
240037304013,730401,3,1981,39.1570953,-76.6360998,"3"
240037304031,730403,1,1101,39.1412899,-76.6215511,"3"
240037304032,730403,2,1648,39.1490861,-76.6263219,"3"
240037304033,730403,3,1336,39.1443887,-76.6249017,"3"
240037304041,730404,1,2421,39.1434626,-76.6110432,"3"
240037305071,730507,1,1763,39.1306136,-76.6143246,"3"
240037305072,730507,2,2511,39.1288945,-76.6010725,"3"
240037305081,730508,1,943,39.1323411,-76.6206807,"3"
240037305082,730508,2,1606,39.1380474,-76.6207681,"3"
240037305091,730509,1,1054,39.1135845,-76.6287259,"3"
240037305092,730509,2,2781,39.117931,-76.607821,"3"
240037305093,730509,3,1241,39.1164052,-76.6281093,"3"
240037305101,730510,1,1962,39.1239223,-76.6199246,"3"
240037305102,730510,2,1592,39.1206361,-76.6248589,"3"
240037305111,730511,1,1552,39.1389062,-76.6299532,"3"
240037305121,730512,1,1029,39.1283873,-76.6271581,"3"
240037305122,730512,2,1216,39.1339113,-76.6284221,"3"
240037305131,730513,1,1024,39.1268437,-76.6341811,"3"
240037305132,730513,2,580,39.12292,-76.636146,"3"
240037305141,730514,1,1235,39.1320253,-76.6346585,"3"
240037305142,730514,2,1856,39.1279503,-76.638347,"3"
240037306011,730601,1,1971,39.1000507,-76.617688,"3"
240037306012,730601,2,1519,39.0833423,-76.6137893,"3"
240037306013,730601,3,1669,39.1090909,-76.6165301,"3"
240037306014,730601,4,1893,39.0946995,-76.6051657,"3"
240037306031,730603,1,1328,39.1130695,-76.5895884,"3"
240037306032,730603,2,1964,39.0994109,-76.5864985,"3"
240037306051,730605,1,2877,39.0860093,-76.5626359,"3"
240037306061,730606,1,2217,39.0870605,-76.5916668,"3"
240037306062,730606,2,1964,39.084193,-76.5777451,"3"
240037306063,730606,3,885,39.0906184,-76.5738281,"3"
240037307011,730701,1,835,39.065825,-76.5457935,"6"
240037307012,730701,2,1233,39.0604246,-76.5455228,"6"
240037307013,730701,3,716,39.0758507,-76.5517404,"6"
240037307021,730702,1,1704,39.065269,-76.5574189,"6"
240037307022,730702,2,655,39.0715173,-76.5716526,"3"
240037307023,730702,3,2303,39.0760036,-76.584924,"3"
240037308001,730800,1,2435,39.033487,-76.5202821,"6"
240037309011,730901,1,994,39.002764,-76.487437,"6"
240037309012,730901,2,859,38.9990661,-76.4632679,"6"
240037309013,730901,3,879,38.9877821,-76.4646879,"6"
240037309021,730902,1,2816,39.0072068,-76.4432215,"6"
240037309022,730902,2,1206,39.0102037,-76.424974,"6"
240037310021,731002,1,2179,39.0310142,-76.4366976,"6"
240037310022,731002,2,983,39.0291487,-76.4152462,"6"
240037310031,731003,1,1691,39.0503421,-76.4392397,"6"
240037310032,731003,2,2753,39.0369215,-76.4480987,"6"
240037310041,731004,1,1108,39.0441903,-76.4481437,"6"
240037310042,731004,2,1956,39.0405275,-76.4610741,"6"
240037310043,731004,3,1460,39.0453554,-76.4539032,"6"
240037311031,731103,1,2196,39.030233,-76.480647,"6"
240037311032,731103,2,1106,39.0254681,-76.4935391,"6"
240037311033,731103,3,2672,39.0435278,-76.5069191,"6"
240037311041,731104,1,2887,39.0511031,-76.4974667,"6"
240037311042,731104,2,1670,39.05953,-76.497428,"6"
240037311051,731105,1,1282,39.0594163,-76.5171807,"6"
240037311052,731105,2,2222,39.0688644,-76.5027325,"6"
240037311061,731106,1,2299,39.0423604,-76.4779116,"6"
240037311062,731106,2,1998,39.0480736,-76.4779276,"6"
240037311071,731107,1,757,39.057879,-76.4595353,"6"
240037311072,731107,2,2868,39.0549314,-76.4807943,"6"
240037312011,731201,1,2269,39.0808274,-76.5269768,"6"
240037312012,731201,2,1439,39.0775274,-76.5398606,"6"
240037312013,731201,3,952,39.0700971,-76.534218,"6"
240037312014,731201,4,1959,39.0661752,-76.5238577,"6"
240037312051,731205,1,1515,39.0905078,-76.521111,"6"
240037312052,731205,2,1190,39.0988065,-76.5276719,"3"
240037312053,731205,3,1578,39.1108595,-76.5156926,"3"
240037312061,731206,1,1623,39.0873767,-76.4791077,"6"
240037312062,731206,2,1737,39.0978262,-76.4685189,"6"
240037312071,731207,1,2370,39.0917395,-76.5379541,"6"
240037312072,731207,2,953,39.0938798,-76.5541816,"3"
240037312081,731208,1,1049,39.1063767,-76.560863,"3"
240037312082,731208,2,1966,39.1009361,-76.5383198,"3"
240037312083,731208,3,912,39.1098961,-76.5486397,"3"
240037312091,731209,1,2560,39.1232156,-76.5548111,"3"
240037312092,731209,2,3027,39.1218568,-76.569657,"3"
240037312101,731210,1,1205,39.1227513,-76.5333075,"3"
240037312102,731210,2,925,39.1138104,-76.5366071,"3"
240037313031,731303,1,2304,39.0992681,-76.4535079,"6"
240037313032,731303,2,1170,39.0950117,-76.4306882,"6"
240037313033,731303,3,1594,39.1142829,-76.4873942,"6"
240037313034,731303,4,1666,39.1172474,-76.4621787,"6"
240037313061,731306,1,669,39.1600717,-76.4788001,"3"
240037313062,731306,2,1342,39.1470301,-76.4978227,"3"
240037313063,731306,3,2008,39.144659,-76.4656159,"3"
240037313064,731306,4,896,39.1373527,-76.5140153,"3"
240037313065,731306,5,1559,39.1296928,-76.4755103,"6"
240037313071,731307,1,2228,39.1283131,-76.5263914,"3"
240037313072,731307,2,2111,39.1270648,-76.5071026,"3"
240037313073,731307,3,2348,39.132418,-76.5209063,"3"
240037313081,731308,1,2411,39.165588,-76.5064497,"3"
240037313082,731308,2,1156,39.1628234,-76.5167995,"3"
240037313091,731309,1,2150,39.153781,-76.5238397,"3"
240037313092,731309,2,2285,39.147901,-76.5207018,"3"
240037313093,731309,3,910,39.1578601,-76.5210529,"3"
240037313101,731310,1,2278,39.148017,-76.5340652,"3"
240037313102,731310,2,1546,39.1412058,-76.537319,"3"
240037313103,731310,3,1448,39.140608,-76.5315111,"3"
240037313121,731312,1,2308,39.1369051,-76.5418367,"3"
240037313122,731312,2,1297,39.1335385,-76.5456214,"3"
240037313123,731312,3,1232,39.1409529,-76.5479844,"3"
240037313131,731313,1,1334,39.1373668,-76.5515139,"3"
240037313132,731313,2,1921,39.1361759,-76.5592936,"3"
240037401031,740103,1,2733,39.1439385,-76.718137,"2"
240037401032,740103,2,3202,39.1451101,-76.7034155,"2"
240037401033,740103,3,1727,39.1349649,-76.7316857,"2"
240037401034,740103,4,1535,39.1541206,-76.7096057,"3"
240037401041,740104,1,3606,39.1295073,-76.7210558,"2"
240037401042,740104,2,2167,39.1332742,-76.7056941,"2"
240037401043,740104,3,2211,39.1262741,-76.7063594,"2"
240037401044,740104,4,1026,39.1287149,-76.7129861,"2"
240037401051,740105,1,800,39.1134558,-76.7043171,"2"
240037401052,740105,2,2862,39.1169386,-76.7028269,"2"
240037401053,740105,3,662,39.1251449,-76.6991455,"2"
240037401061,740106,1,1148,39.1616305,-76.7516663,"2"
240037401062,740106,2,2575,39.1375759,-76.7706842,"2"
240037401071,740107,1,1866,39.1576362,-76.7286497,"2"
240037401072,740107,2,1866,39.1620625,-76.7358847,"2"
240037401081,740108,1,5992,39.1441698,-76.7398165,"2"
240037402031,740203,1,3171,39.1181522,-76.6775336,"3"
240037402032,740203,2,1630,39.1179207,-76.6620286,"3"
240037402033,740203,3,1854,39.1278283,-76.6590229,"3"
240037402041,740204,1,1154,39.1389466,-76.6486185,"3"
240037402042,740204,2,1191,39.1474121,-76.6493876,"3"
240037402043,740204,3,1701,39.1336667,-76.6505321,"3"
240037402051,740205,1,1591,39.1517988,-76.6422343,"3"
240037402052,740205,2,1966,39.1437531,-76.6377675,"3"
240037403031,740303,1,2182,39.1278306,-76.6905684,"2"
240037403032,740303,2,2545,39.1106292,-76.6910901,"2"
240037403041,740304,1,1370,39.0920311,-76.683982,"2"
240037403042,740304,2,2314,39.0791658,-76.6822716,"2"
240037403043,740304,3,2944,39.0920143,-76.6995734,"2"
240037403051,740305,1,1499,39.1090845,-76.7181518,"2"
240037403052,740305,2,2381,39.1151734,-76.7108322,"2"
240037403053,740305,3,2059,39.1067088,-76.7061977,"2"
240037403054,740305,4,1833,39.0975156,-76.7151634,"2"
240037403055,740305,5,3143,39.1031135,-76.7149997,"2"
240037404001,740400,1,3937,39.1356891,-76.7765632,"2"
240037405011,740501,1,2563,39.1055334,-76.8002838,"2"
240037405012,740501,2,2039,39.1051245,-76.8230048,"2"
240037405013,740501,3,1162,39.1017903,-76.7990673,"2"
240037405021,740502,1,1605,39.1094045,-76.7928238,"2"
240037405022,740502,2,2320,39.1137242,-76.8049244,"2"
240037405023,740502,3,1406,39.1196438,-76.7896183,"2"
240037406011,740601,1,1431,39.118729,-76.7652265,"2"
240037406012,740601,2,4001,39.1250661,-76.7522794,"2"
240037406021,740602,1,901,39.1179783,-76.7296301,"2"
240037406022,740602,2,1265,39.1123872,-76.7430041,"2"
240037406023,740602,3,809,39.1220658,-76.7405882,"2"
240037406031,740603,1,23,39.0671871,-76.773073,"2"
240037406032,740603,2,2762,39.0999228,-76.7398116,"2"
240037407011,740701,1,1293,39.0650741,-76.7180763,"2"
240037407012,740701,2,2546,39.0636067,-76.7125295,"2"
240037407013,740701,3,2431,39.0740381,-76.7159242,"2"
240037407031,740703,1,2493,39.0538074,-76.6985039,"2"
240037407032,740703,2,1318,39.0590811,-76.7084986,"2"
240037407033,740703,3,1960,39.0556104,-76.7051244,"2"
240037407041,740704,1,1943,39.05292,-76.7246379,"2"
240037407042,740704,2,2601,39.0375083,-76.6991731,"2"
240037407043,740704,3,2415,39.0164646,-76.7235101,"2"
240037408001,740800,1,1094,39.0706229,-76.645509,"2"
240037408002,740800,2,1576,39.0468044,-76.6743127,"2"
240037408003,740800,3,2039,39.0550647,-76.6911771,"2"
240037409001,740900,1,2844,39.0676205,-76.6977022,"2"
240037409002,740900,2,885,39.0743616,-76.6906457,"2"
240037409003,740900,3,1176,39.069002,-76.6823581,"2"
240037409004,740900,4,2843,39.0777468,-76.702115,"2"
240037410001,741000,1,974,39.0920872,-76.6670233,"2"
240037410002,741000,2,1712,39.10062,-76.6408396,"3"
240037501011,750101,1,773,39.2207223,-76.6100234,"3"
240037501012,750101,2,1174,39.2294177,-76.6100065,"3"
240037501013,750101,3,992,39.2248536,-76.6104147,"3"
240037501014,750101,4,1841,39.2232811,-76.6038691,"3"
240037501021,750102,1,1851,39.2340928,-76.6152756,"3"
240037501022,750102,2,902,39.2330634,-76.6180718,"3"
240037502011,750201,1,1455,39.207677,-76.6327459,"3"
240037502012,750201,2,1872,39.2149366,-76.6338246,"3"
240037502041,750204,1,2405,39.2218873,-76.6192875,"3"
240037502042,750204,2,1436,39.2096614,-76.6209801,"3"
240037502043,750204,3,1497,39.2108433,-76.599672,"3"
240037503001,750300,1,884,39.2276159,-76.657342,"3"
240037503002,750300,2,1877,39.2145782,-76.6494131,"3"
240037504001,750400,1,1765,39.2023542,-76.6485423,"3"
240037504002,750400,2,667,39.2007358,-76.6373647,"3"
240037504003,750400,3,1823,39.2102642,-76.6566575,"3"
240037508011,750801,1,855,39.1952541,-76.6473768,"3"
240037508012,750801,2,1864,39.1884717,-76.6370556,"3"
240037508013,750801,3,1155,39.1909188,-76.6474531,"3"
240037508014,750801,4,1953,39.1773199,-76.643457,"3"
240037508031,750803,1,2380,39.1958984,-76.6224144,"3"
240037508032,750803,2,1186,39.1902634,-76.6300001,"3"
240037508033,750803,3,1569,39.2000292,-76.6214004,"3"
240037508034,750803,4,2158,39.20334,-76.6181898,"3"
240037508041,750804,1,1487,39.1915172,-76.6196261,"3"
240037508042,750804,2,847,39.1779348,-76.631017,"3"
240037508043,750804,3,1637,39.1815368,-76.622678,"3"
240037509001,750900,1,865,39.1733477,-76.6213199,"3"
240037509002,750900,2,1195,39.1610229,-76.6262402,"3"
240037509003,750900,3,1293,39.1646247,-76.6367374,"3"
240037510001,751000,1,1502,39.1725524,-76.6135561,"3"
240037510002,751000,2,1290,39.1632114,-76.6089886,"3"
240037510003,751000,3,1205,39.1639675,-76.6159632,"3"
240037511021,751102,1,1007,39.2017615,-76.6085706,"3"
240037511022,751102,2,1516,39.1925013,-76.5947761,"3"
240037511023,751102,3,1704,39.196768,-76.6058525,"3"
240037511031,751103,1,1385,39.1799458,-76.5860286,"3"
240037511032,751103,2,1295,39.1716829,-76.5950234,"3"
240037511033,751103,3,1066,39.1613552,-76.6002132,"3"
240037511034,751103,4,830,39.1668128,-76.5905467,"3"
240037511035,751103,5,1190,39.1665292,-76.5989571,"3"
240037512001,751200,1,2909,39.1981564,-76.6697389,"3"
240037512002,751200,2,2412,39.1912223,-76.6978149,"3"
240037514001,751400,1,1836,39.1452625,-76.66255,"3"
240037514002,751400,2,2578,39.1506598,-76.6783436,"3"
240037515001,751500,1,3363,39.0946414,-76.7900675,"2"
240037515002,751500,2,1272,39.0832647,-76.8266463,"2"
240037515003,751500,3,1303,39.0927185,-76.8216486,"2"
240037515004,751500,4,1163,39.0989672,-76.8231704,"2"
240037515005,751500,5,961,39.0983417,-76.8155523,"2"
240037516001,751600,1,1459,38.9747958,-76.5958178,"6"
240037516002,751600,2,2145,39.0048387,-76.5964602,"6"
240037516003,751600,3,1788,38.9670547,-76.5836029,"6"
240037517001,751700,1,3022,39.0180009,-76.6333087,"2"
240054001001,400100,1,1559,39.2668184,-76.7101467,"1"
240054001002,400100,2,780,39.271181,-76.705654,"1"
240054001003,400100,3,2299,39.2692453,-76.701587,"3"
240054002001,400200,1,1497,39.2743816,-76.7094116,"1"
240054002002,400200,2,1288,39.2725263,-76.7183252,"1"
240054004001,400400,1,931,39.2662027,-76.7329531,"1"
240054004002,400400,2,1570,39.2590131,-76.7234299,"1"
240054004003,400400,3,1081,39.2668451,-76.7392724,"1"
240054004004,400400,4,839,39.2618383,-76.7409198,"1"
240054004005,400400,5,1566,39.2375479,-76.7339921,"1"
240054005001,400500,1,2863,39.2543871,-76.7516836,"1"
240054006001,400600,1,730,39.2829364,-76.7124436,"1"
240054006002,400600,2,1275,39.2785967,-76.7154177,"1"
240054006003,400600,3,1053,39.2780446,-76.7221269,"1"
240054007011,400701,1,1309,39.2826126,-76.7202389,"1"
240054007012,400701,2,1728,39.285229,-76.7283431,"1"
240054007021,400702,1,2033,39.2880154,-76.7166223,"1"
240054008001,400800,1,2045,39.2810794,-76.7389096,"1"
240054008002,400800,2,1053,39.2766619,-76.7293462,"1"
240054009001,400900,1,2132,39.2786877,-76.7494396,"1"
240054010001,401000,1,1101,39.2737407,-76.7376938,"1"
240054010002,401000,2,1224,39.2712869,-76.7495843,"1"
240054011011,401101,1,1657,39.2918577,-76.736782,"1"
240054011012,401101,2,2254,39.3003849,-76.7265334,"1"
240054011013,401101,3,2862,39.3011586,-76.7373671,"1"
240054011021,401102,1,123,39.311056,-76.7335613,"1"
240054011022,401102,2,832,39.312108,-76.728303,"1"
240054012001,401200,1,1247,39.314544,-76.7196422,"1"
240054012002,401200,2,1891,39.3204764,-76.7166707,"1"
240054013011,401301,1,1744,39.2998823,-76.7167291,"1"
240054013012,401301,2,943,39.2958207,-76.7230625,"1"
240054013013,401301,3,1185,39.2920336,-76.7267925,"1"
240054013021,401302,1,1868,39.2944537,-76.7147598,"1"
240054013022,401302,2,697,39.2950512,-76.7186322,"1"
240054014001,401400,1,1630,39.2610633,-76.7725829,"1"
240054015031,401503,1,1498,39.2885084,-76.7748896,"1"
240054015032,401503,2,1318,39.2749135,-76.7689748,"1"
240054015033,401503,3,1088,39.2783316,-76.7815977,"1"
240054015034,401503,4,992,39.2691627,-76.783989,"1"
240054015035,401503,5,1836,39.2809149,-76.7608328,"1"
240054015041,401504,1,2317,39.3032548,-76.7631301,"1"
240054015042,401504,2,2013,39.2910129,-76.7607414,"1"
240054015043,401504,3,1942,39.2942372,-76.7707198,"1"
240054015051,401505,1,1177,39.3019892,-76.7487564,"1"
240054015052,401505,2,1616,39.2888987,-76.7466093,"1"
240054015053,401505,3,1318,39.2948963,-76.7497023,"1"
240054015061,401506,1,1233,39.3170538,-76.7784301,"1"
240054015062,401506,2,2189,39.3098361,-76.7825802,"1"
240054015063,401506,3,1808,39.3130839,-76.7738012,"1"
240054015071,401507,1,1144,39.3146564,-76.750055,"1"
240054015072,401507,2,2018,39.3128746,-76.7605341,"1"
240054015073,401507,3,1099,39.3084609,-76.7609282,"1"
240054015074,401507,4,1797,39.3099746,-76.7665043,"1"
240054022011,402201,1,1889,39.3570478,-76.848699,"1"
240054022012,402201,2,1304,39.3801959,-76.8671733,"1"
240054022021,402202,1,1593,39.3270886,-76.8184311,"1"
240054023021,402302,1,2237,39.3503767,-76.7696857,"1"
240054023022,402302,2,1473,39.3537735,-76.784937,"1"
240054023023,402302,3,1595,39.3555715,-76.7771717,"1"
240054023031,402303,1,1233,39.3430897,-76.7472815,"1"
240054023032,402303,2,1029,39.3386216,-76.7507169,"1"
240054023033,402303,3,1468,39.3455579,-76.7507323,"1"
240054023034,402303,4,1470,39.3522511,-76.7615369,"1"
240054023035,402303,5,1649,39.3457181,-76.7590858,"1"
240054023041,402304,1,1499,39.340966,-76.7338906,"1"
240054023042,402304,2,943,39.3375566,-76.7411435,"1"
240054023043,402304,3,1167,39.3445731,-76.7413185,"1"
240054023051,402305,1,924,39.3676537,-76.7443507,"1"
240054023052,402305,2,1131,39.3506939,-76.739629,"1"
240054023061,402306,1,1015,39.3646824,-76.7635975,"1"
240054023062,402306,2,1894,39.3597401,-76.7670315,"1"
240054023063,402306,3,1116,39.3630225,-76.7724925,"1"
240054023071,402307,1,2235,39.3608265,-76.7499365,"1"
240054023072,402307,2,1867,39.3553399,-76.7510283,"1"
240054023073,402307,3,2262,39.3609839,-76.7597234,"1"
240054024031,402403,1,799,39.3318692,-76.7146128,"1"
240054024032,402403,2,1229,39.3319033,-76.7210597,"1"
240054024041,402404,1,1813,39.3309839,-76.7354068,"1"
240054024042,402404,2,1715,39.328094,-76.728548,"1"
240054024043,402404,3,1711,39.3367069,-76.7297117,"1"
