"GEOCODE","TRACT","BLKGRP","POP100","INTPTLAT","INTPTLON","CLUSTER"
490011001001,100100,1,1159,38.3450604,-112.5833973,"4"
490011001002,100100,2,1801,38.2937363,-112.6280315,"4"
490011001003,100100,3,1466,38.2794643,-112.6444689,"4"
490011002001,100200,1,566,38.3601337,-113.4015527,"4"
490011002002,100200,2,799,38.2145997,-112.9213892,"4"
490011002003,100200,3,1281,38.3968047,-113.0146911,"4"
490039601001,960100,1,956,41.8122831,-112.533108,"2"
490039601002,960100,2,1874,41.8865454,-112.3106291,"2"
490039601003,960100,3,668,41.4896957,-113.2754152,"2"
490039602001,960200,1,1921,41.8098235,-112.0884873,"2"
490039602002,960200,2,1100,41.7551466,-112.1256445,"2"
490039602003,960200,3,2009,41.7333607,-112.1654582,"2"
490039602004,960200,4,1553,41.7085426,-112.0590976,"2"
490039602005,960200,5,873,41.6564314,-112.0979987,"2"
490039602006,960200,6,581,41.7476278,-112.1615847,"2"
490039603011,960301,1,1760,41.6962972,-112.1328673,"2"
490039603012,960301,2,664,41.6999263,-112.1659896,"2"
490039603013,960301,3,849,41.7133112,-112.1659801,"2"
490039603014,960301,4,1227,41.7216895,-112.1608209,"2"
490039603021,960302,1,1436,41.7189412,-112.1751164,"2"
490039603022,960302,2,1413,41.7046219,-112.1843503,"2"
490039603023,960302,3,1302,41.7188195,-112.2013151,"2"
490039603024,960302,4,1595,41.7078798,-112.1753678,"2"
490039604001,960400,1,1821,41.573093,-112.306393,"2"
490039604002,960400,2,1949,41.6361903,-112.1374021,"2"
490039604003,960400,3,1580,41.5524267,-112.1346526,"2"
490039605001,960500,1,1920,41.5501836,-112.026885,"2"
490039605002,960500,2,1066,41.4420809,-112.1593052,"2"
490039605003,960500,3,1312,41.5185066,-112.0185283,"2"
490039605004,960500,4,1013,41.5093355,-112.0215646,"2"
490039606011,960601,1,972,41.5216979,-112.0108983,"2"
490039606012,960601,2,1167,41.518129,-112.0030726,"2"
490039606013,960601,3,727,41.5157914,-112.0109126,"2"
490039606014,960601,4,829,41.5094053,-112.0109981,"2"
490039606021,960602,1,878,41.5310537,-111.9831466,"2"
490039606022,960602,2,892,41.5091585,-111.9945467,"2"
490039606023,960602,3,850,41.5263005,-112.0090834,"2"
490039607011,960701,1,1071,41.503969,-112.0240291,"2"
490039607012,960701,2,2596,41.4943576,-112.0302168,"2"
490039607013,960701,3,1712,41.4909158,-112.0207871,"2"
490039607021,960702,1,1905,41.4945281,-112.0058241,"2"
490039607022,960702,2,988,41.5020815,-112.0097329,"2"
490039608011,960801,1,1183,41.4742606,-111.9426348,"2"
490039608012,960801,2,1606,41.4004199,-112.0043939,"2"
490039608013,960801,3,2377,41.4203599,-112.0650119,"2"
490039608021,960802,1,2229,41.4782773,-112.0310935,"2"
490039608022,960802,2,1374,41.4656293,-112.0465432,"2"
490039608023,960802,3,1868,41.4555299,-112.0448825,"2"
490050001011,101,1,1768,41.899572,-111.7878175,"2"
490050001012,101,2,1653,41.9536633,-111.8664511,"2"
490050001013,101,3,1780,41.9642552,-111.7825982,"2"
490050001021,102,1,868,41.9609001,-111.9614341,"2"
490050001022,102,2,814,41.9438129,-112.0643603,"2"
490050002011,201,1,2436,41.8660569,-111.8558129,"2"
490050002012,201,2,1837,41.8218414,-111.8637036,"2"
490050002021,202,1,1123,41.8325692,-111.8267335,"2"
490050002022,202,2,4225,41.8206465,-111.8016468,"2"
490050002023,202,3,2469,41.8604376,-111.814237,"2"
490050002024,202,4,2225,41.84481,-111.791554,"2"
490050003011,301,1,1122,41.8559417,-111.917465,"2"
490050003012,301,2,1190,41.8218418,-111.9791309,"2"
490050003021,302,1,2778,41.7102446,-111.8691848,"2"
490050003022,302,2,990,41.6905696,-111.8782132,"2"
490050003023,302,3,2101,41.7509988,-111.8992621,"2"
490050004011,401,1,1477,41.766706,-111.8116339,"2"
490050004012,401,2,1973,41.770822,-111.8271789,"2"
490050004013,401,3,1497,41.761197,-111.8265936,"2"
490050004021,402,1,3028,41.7928981,-111.7866137,"2"
490050004022,402,2,1539,41.7655957,-111.7996641,"2"
490050004031,403,1,2254,41.7859982,-111.8135929,"2"
490050004032,403,2,1442,41.7941147,-111.8555323,"2"
490050004033,403,3,1360,41.8046515,-111.8239487,"2"
490050004034,403,4,1474,41.8023687,-111.8093093,"2"
490050005011,501,1,1109,41.7458247,-111.8385752,"2"
490050005012,501,2,1307,41.7387683,-111.8384226,"2"
490050005013,501,3,1479,41.739322,-111.85061,"2"
490050005014,501,4,1352,41.7472341,-111.845105,"2"
490050005021,502,1,4215,41.7669737,-111.841288,"2"
490050005022,502,2,2499,41.7515582,-111.8498814,"2"
490050006011,601,1,1372,41.7491762,-111.8163709,"2"
490050006012,601,2,1072,41.7473639,-111.8165466,"2"
490050006013,601,3,578,41.7473918,-111.8293326,"2"
490050006014,601,4,1255,41.7467891,-111.8203027,"2"
490050006021,602,1,933,41.7553413,-111.8189983,"2"
490050006022,602,2,1477,41.753799,-111.8293061,"2"
490050006023,602,3,1697,41.7516275,-111.8191657,"2"
490050007011,701,1,2024,41.7564477,-111.787408,"2"
490050007012,701,2,2404,41.7512815,-111.7997977,"2"
490050007013,701,3,519,41.740399,-111.804682,"2"
490050007021,702,1,2396,41.7478851,-111.8101025,"2"
490050007022,702,2,1084,41.7514431,-111.8066552,"2"
490050008001,800,1,1517,41.7411014,-111.8194787,"2"
490050008002,800,2,1117,41.741774,-111.8256505,"2"
490050008003,800,3,926,41.7376282,-111.83227,"2"
490050008004,800,4,1177,41.7361715,-111.8263971,"2"
490050009001,900,1,1581,41.7338819,-111.8191404,"2"
490050009002,900,2,900,41.7286919,-111.8227524,"2"
490050009003,900,3,725,41.7269238,-111.8313603,"2"
490050010011,1001,1,1628,41.7184018,-111.8533378,"2"
490050010012,1001,2,1254,41.7258893,-111.8542144,"2"
490050010021,1002,1,671,41.7324747,-111.8388996,"2"
490050010022,1002,2,761,41.7266021,-111.8408476,"2"
490050010023,1002,3,2142,41.7154364,-111.8441312,"2"
490050010024,1002,4,1052,41.7316984,-111.8511695,"2"
490050011011,1101,1,2690,41.7149272,-111.8231317,"2"
490050011012,1101,2,1214,41.7055953,-111.8011396,"2"
490050011013,1101,3,1912,41.7063839,-111.8295692,"2"
490050011021,1102,1,1505,41.7340534,-111.7946652,"2"
490050011022,1102,2,2159,41.7235348,-111.8207008,"2"
490050011023,1102,3,1582,41.7230222,-111.8018957,"2"
490050012011,1201,1,2388,41.692,-111.8242246,"2"
490050012012,1201,2,2267,41.6932543,-111.8071694,"2"
490050012013,1201,3,1571,41.6583799,-111.8130706,"2"
490050012021,1202,1,2460,41.6648754,-111.8548171,"2"
490050012022,1202,2,1683,41.6930986,-111.8495998,"2"
490050012023,1202,3,3087,41.6801017,-111.8551135,"2"
490050013001,1300,1,2361,41.7059671,-112.0070355,"2"
490050013002,1300,2,2838,41.620989,-111.9311646,"2"
490050013003,1300,3,1960,41.6108186,-111.9738426,"2"
490050014011,1401,1,2394,41.6216911,-111.8149562,"2"
490050014012,1401,2,2055,41.6235308,-111.8407917,"2"
490050014013,1401,3,943,41.642983,-111.8335839,"2"
490050014021,1402,1,1320,41.6490619,-111.8837163,"2"
490050014022,1402,2,1866,41.628105,-111.8778825,"2"
490050014023,1402,3,963,41.6322832,-111.8537736,"2"
490050015001,1500,1,1082,41.5534298,-111.8596147,"2"
490050015002,1500,2,1093,41.5634421,-111.8233279,"2"
490059801001,980100,1,115,41.6748774,-111.6452383,"2"
490070001001,100,1,1317,39.6104009,-110.7853888,"4"
490070001002,100,2,1919,39.5778637,-110.7232804,"4"
490070002001,200,1,1635,39.6023924,-110.820233,"4"
490070002002,200,2,1367,39.626872,-110.8115713,"4"
490070002003,200,3,1209,39.63645,-110.8406366,"4"
490070003001,300,1,836,39.6079206,-110.7985072,"4"
490070003002,300,2,1173,39.5893684,-110.8014233,"4"
490070003003,300,3,1069,39.5931107,-110.7882702,"4"
490070003004,300,4,1124,39.6031686,-110.8046737,"4"
490070005001,500,1,2115,39.6621253,-111.0134931,"4"
490070005002,500,2,1062,39.6952099,-110.8640935,"4"
490070005003,500,3,833,39.6674385,-110.8808762,"4"
490070006001,600,1,1577,39.6689547,-110.2509071,"4"
490070006002,600,2,1401,39.7010031,-110.698283,"4"
490070006003,600,3,1775,39.5176744,-110.6982671,"4"
490099601001,960100,1,935,40.890099,-109.5057855,"1"
490111251021,125102,1,1682,41.073798,-111.8736664,"2"
490111251022,125102,2,2608,41.0458954,-111.8685235,"2"
490111251031,125103,1,3374,41.1107316,-111.9446047,"2"
490111251032,125103,2,2451,41.1363267,-111.956373,"2"
490111251033,125103,3,1565,41.1344972,-111.9337443,"2"
490111251041,125104,1,2316,41.1295203,-111.9171062,"2"
490111251042,125104,2,1750,41.1243401,-111.8669286,"2"
490111251043,125104,3,1998,41.111116,-111.9177659,"2"
490111252011,125201,1,1205,41.1134651,-112.0088912,"2"
490111252012,125201,2,2343,41.1067091,-111.9985,"2"
490111253011,125301,1,1443,41.149961,-112.0309205,"2"
490111253012,125301,2,1480,41.1452777,-112.0301935,"2"
490111253013,125301,3,1222,41.1362451,-112.0304555,"2"
490111253014,125301,4,1241,41.1289257,-112.0302639,"2"
490111253041,125304,1,1555,41.143535,-112.0407356,"2"
490111253042,125304,2,3114,41.1462264,-112.0550414,"2"
490111253043,125304,3,937,41.1498295,-112.0411547,"2"
490111253051,125305,1,1616,41.1362292,-112.0405066,"2"
490111253052,125305,2,1732,41.128952,-112.0404056,"2"
490111253053,125305,3,1233,41.1289719,-112.054858,"2"
490111253054,125305,4,1868,41.1362421,-112.0548369,"2"
490111253061,125306,1,2069,41.1463452,-112.0690661,"2"
490111253062,125306,2,2266,41.1463409,-112.0803937,"2"
490111253071,125307,1,2391,41.131403,-112.0757312,"2"
490111253072,125307,2,1897,41.1317871,-112.09333,"2"
490111253073,125307,3,1682,41.1362421,-112.0692831,"2"
490111253074,125307,4,2764,41.1418314,-112.1024986,"2"
490111254071,125407,1,1206,41.1235177,-112.0740481,"2"
490111254072,125407,2,1791,41.0964085,-112.0693851,"2"
490111254073,125407,3,3137,41.107962,-112.0815257,"2"
490111254074,125407,4,2085,41.1211161,-112.0870565,"2"
490111254081,125408,1,1662,41.0928121,-112.092997,"2"
490111254082,125408,2,2190,41.1344047,-112.1791968,"2"
490111254083,125408,3,2818,41.0978586,-112.1024616,"2"
490111254091,125409,1,2826,41.0858921,-112.0665486,"2"
490111254092,125409,2,2445,41.0829318,-112.0507984,"2"
490111254101,125410,1,1900,41.0708365,-112.0515508,"2"
490111254102,125410,2,2323,41.0782907,-112.0608435,"2"
490111254111,125411,1,3382,41.0715148,-112.0733918,"2"
490111254112,125411,2,3141,40.9581019,-112.2134044,"2"
490111254121,125412,1,1388,41.0783473,-112.0322072,"2"
490111254122,125412,2,1530,41.0844864,-112.0300485,"2"
490111254131,125413,1,2738,41.0800235,-112.0409652,"2"
490111254132,125413,2,3494,41.0671052,-112.0346888,"2"
490111254141,125414,1,2328,41.0853091,-112.0133973,"2"
490111254142,125414,2,1348,41.0783403,-112.0101936,"2"
490111254143,125414,3,1595,41.0783445,-112.0169565,"2"
490111254151,125415,1,2785,41.0711011,-112.0214594,"2"
490111254152,125415,2,2308,41.0840315,-112.023007,"2"
490111255011,125501,1,3125,41.12171,-112.0548939,"2"
490111255012,125501,2,2301,41.1071499,-112.0604064,"2"
490111255013,125501,3,1315,41.114645,-112.0495345,"2"
490111255021,125502,1,1804,41.1202262,-112.029543,"2"
490111255022,125502,2,1664,41.1217401,-112.0404808,"2"
490111255023,125502,3,2087,41.1120549,-112.0365852,"2"
490111255031,125503,1,2470,41.0926022,-112.0546445,"2"
490111255032,125503,2,3187,41.099796,-112.0552175,"2"
490111256001,125600,1,239,41.0974082,-112.034103,"2"
490111257011,125701,1,1597,41.0973442,-112.00423,"2"
490111257012,125701,2,1321,41.0903543,-112.0086536,"2"
490111257013,125701,3,2054,41.1002158,-112.0175253,"2"
490111257021,125702,1,869,41.1059092,-112.0102783,"2"
490111257022,125702,2,1641,41.1176836,-112.0209244,"2"
490111257023,125702,3,1433,41.1091175,-112.0191099,"2"
490111258011,125801,1,1053,41.0819326,-111.9982735,"2"
490111258012,125801,2,1327,41.080869,-112.0025412,"2"
490111258013,125801,3,1898,41.0773525,-111.9906078,"2"
490111258014,125801,4,1648,41.0800747,-111.9854584,"2"
490111258015,125801,5,1160,41.0884634,-111.9942295,"2"
490111258041,125804,1,2295,41.0979089,-111.9315806,"2"
490111258042,125804,2,817,41.095725,-111.9182421,"2"
490111258043,125804,3,2010,41.0954868,-111.9224924,"2"
490111258044,125804,4,1358,41.0960729,-111.9520593,"2"
490111258051,125805,1,1211,41.0851134,-111.9816653,"2"
490111258052,125805,2,2577,41.0782954,-111.9667341,"2"
490111258053,125805,3,1237,41.0844449,-111.9625365,"2"
490111258054,125805,4,1352,41.0852157,-111.9699048,"2"
490111258071,125807,1,2308,41.0930261,-111.9666134,"2"
490111258072,125807,2,1367,41.1010522,-111.9662453,"2"
490111258091,125809,1,1662,41.1004656,-111.9758078,"2"
490111258092,125809,2,1050,41.1013633,-111.9922914,"2"
490111258093,125809,3,1801,41.0998942,-111.9826798,"2"
490111258101,125810,1,842,41.1007156,-111.9997119,"2"
490111258102,125810,2,2033,41.0928016,-111.9868032,"2"
490111259051,125905,1,1515,41.0760212,-111.9245039,"2"
490111259052,125905,2,1254,41.0707048,-111.9539701,"2"
490111259053,125905,3,1762,41.0633332,-111.9523231,"2"
490111259054,125905,4,2170,41.071999,-111.9233153,"2"
490111259061,125906,1,3325,41.062405,-111.9248397,"2"
490111259062,125906,2,1428,41.0567003,-111.9524738,"2"
490111259063,125906,3,1368,41.0487797,-111.9525084,"2"
490111259064,125906,4,1866,41.0533793,-111.9466636,"2"
490111259071,125907,1,2596,41.0843097,-111.9431112,"2"
490111259081,125908,1,2279,41.0865831,-111.9189063,"2"
490111259082,125908,2,1341,41.0769165,-111.9447652,"2"
490111259083,125908,3,1581,41.0790342,-111.9324875,"2"
490111260011,126001,1,2207,41.0666333,-111.9748783,"2"
490111260012,126001,2,1681,41.0715392,-111.9677337,"2"
490111260013,126001,3,741,41.0631971,-111.9593667,"2"
490111260014,126001,4,1206,41.0519504,-111.9659554,"2"
490111260021,126002,1,2251,41.0641675,-111.9829648,"2"
490111260022,126002,2,2062,41.0512091,-111.9833744,"2"
490111260023,126002,3,3681,41.0559862,-112.0022709,"2"
490111261011,126101,1,2249,41.0443158,-111.9451786,"2"
490111261012,126101,2,2008,41.0490821,-111.924757,"2"
490111261013,126101,3,1432,41.0443573,-111.9193996,"2"
490111261014,126101,4,981,41.0546303,-111.9154946,"2"
490111261051,126105,1,2406,41.0095996,-111.9295949,"2"
490111261052,126105,2,1519,41.015778,-111.924574,"2"
490111261053,126105,3,1033,41.0256545,-111.9346664,"2"
490111261054,126105,4,1478,41.018666,-111.9366734,"2"
490111261061,126106,1,2588,41.0101845,-111.940518,"2"
490111261062,126106,2,2002,41.0348272,-111.9543071,"2"
490111261071,126107,1,1607,41.0387041,-111.9903436,"2"
490111261072,126107,2,2282,41.0438989,-111.9737628,"2"
490111261081,126108,1,3427,41.018687,-111.9556136,"2"
490111261082,126108,2,3198,41.0058908,-111.9834842,"2"
490111262031,126203,1,2248,41.0026681,-111.8953933,"2"
490111262032,126203,2,2269,41.009912,-111.9025825,"2"
490111262041,126204,1,1920,40.9858167,-111.8435325,"2"
490111262042,126204,2,1172,40.9877618,-111.888982,"2"
490111262043,126204,3,2212,40.9736029,-111.8887618,"2"
490111262051,126205,1,4823,40.9949655,-111.9213404,"2"
490111262052,126205,2,1792,41.0060349,-111.9153039,"2"
490111262061,126206,1,3594,40.975583,-111.9040893,"2"
490111262062,126206,2,3446,40.9284406,-111.9678556,"2"
490111263031,126303,1,1581,40.9343311,-111.8749941,"2"
490111263032,126303,2,1754,40.9586552,-111.8871712,"2"
490111263033,126303,3,1388,40.9556245,-111.8416295,"2"
490111263041,126304,1,2814,40.9327483,-111.9017149,"2"
490111263042,126304,2,1900,40.9338481,-111.88518,"2"
490111263043,126304,3,2241,40.9449416,-111.886075,"2"
490111263051,126305,1,2556,40.9287357,-111.8541038,"2"
490111263061,126306,1,2919,40.9252596,-111.8818936,"2"
490111263062,126306,2,2193,40.9172756,-111.8816685,"2"
490111263063,126306,3,2473,40.9098286,-111.8818092,"2"
490111264021,126402,1,1438,40.9028164,-111.8094481,"2"
490111264022,126402,2,2168,40.8698533,-111.7919085,"2"
490111264041,126404,1,2729,40.8281035,-111.9060341,"3"
490111264042,126404,2,1555,40.8393746,-111.9097916,"3"
490111264043,126404,3,2191,40.828537,-111.866247,"3"
490111264044,126404,4,1938,40.8362363,-111.896576,"3"
490111264051,126405,1,1841,40.8503952,-111.8785527,"2"
490111264052,126405,2,1938,40.8436029,-111.8885375,"2"
490111264061,126406,1,2077,40.8495952,-111.8925187,"2"
490111264062,126406,2,2693,40.8491875,-111.9018897,"2"
490111265001,126500,1,1045,40.8976591,-111.857743,"2"
490111265002,126500,2,1196,40.9031764,-111.8676209,"2"
490111265003,126500,3,1093,40.897023,-111.8678074,"2"
490111265004,126500,4,1450,40.8892364,-111.8684781,"2"
490111265005,126500,5,1767,40.8881814,-111.8591312,"2"
490111266001,126600,1,1917,40.9030414,-111.8852833,"2"
490111266002,126600,2,1845,40.9001348,-111.8757044,"2"
490111266003,126600,3,1740,40.8966751,-111.8867173,"2"
490111267001,126700,1,1520,40.891687,-111.888401,"2"
490111267002,126700,2,1051,40.8868655,-111.8886871,"2"
490111267003,126700,3,844,40.8915616,-111.8765599,"2"
490111267004,126700,4,803,40.8868484,-111.87653,"2"
490111268011,126801,1,1308,40.8774841,-111.8555777,"2"
490111268012,126801,2,892,40.8808429,-111.8660735,"2"
490111268013,126801,3,1334,40.8724833,-111.8611996,"2"
490111268021,126802,1,1611,40.8685061,-111.8563015,"2"
490111268022,126802,2,1267,40.8684737,-111.8673825,"2"
490111268023,126802,3,2174,40.8586555,-111.8633868,"2"
490111269011,126901,1,1206,40.8807903,-111.8771752,"2"
490111269012,126901,2,836,40.8761886,-111.8779957,"2"
490111269013,126901,3,1111,40.8728732,-111.8796071,"2"
490111269014,126901,4,788,40.8788368,-111.8847921,"2"
490111269015,126901,5,1178,40.878919,-111.8893934,"2"
490111269016,126901,6,1004,40.8720797,-111.8951741,"2"
490111269021,126902,1,1519,40.8646853,-111.875693,"2"
490111269022,126902,2,1242,40.8671591,-111.8822014,"2"
490111269023,126902,3,1553,40.8589793,-111.8843232,"2"
490111269024,126902,4,1493,40.8588677,-111.8937003,"2"
490111269025,126902,5,1335,40.8658179,-111.8895608,"2"
490111270021,127002,1,1343,40.8470385,-111.910547,"2"
490111270022,127002,2,2949,40.8542629,-111.9368843,"2"
490111270023,127002,3,2216,40.8466828,-111.9362723,"3"
490111270024,127002,4,1764,40.8441451,-111.9247004,"3"
490111270031,127003,1,2922,40.9022952,-111.9036039,"2"
490111270032,127003,2,3518,40.8645767,-111.9368376,"2"
490111270033,127003,3,2006,40.88975,-111.9404165,"2"
490111270051,127005,1,1767,40.8776807,-111.9208399,"2"
490111270052,127005,2,2132,40.8662962,-111.9196444,"2"
490111270061,127006,1,2407,40.8729723,-111.9069484,"2"
490111270062,127006,2,769,40.8795281,-111.899298,"2"
490111270063,127006,3,954,40.8694442,-111.8999102,"2"
490111271001,127100,1,1515,41.0344542,-111.9317114,"2"
490111271002,127100,2,2031,41.0322451,-111.9424054,"2"
490111271003,127100,3,1468,41.0220956,-111.915489,"2"
490111271004,127100,4,1598,41.0291835,-111.9226713,"2"
490111271005,127100,5,1926,41.0357528,-111.9167529,"2"
490119800001,980000,1,550,41.1291265,-111.9919303,"2"
490139403001,940300,1,1019,40.1799931,-110.4150963,"1"
490139403002,940300,2,1141,40.1917825,-110.3408146,"1"
490139403003,940300,3,1834,40.2802474,-110.469351,"1"
490139405011,940501,1,1431,40.3094144,-109.9842369,"1"
490139405012,940501,2,1457,40.294923,-109.9841787,"1"
490139405021,940502,1,2507,40.3020155,-110.0087196,"1"
490139405022,940502,2,3112,40.3183047,-110.0413121,"1"
490139406001,940600,1,1072,40.0500338,-110.0486045,"1"
490139406002,940600,2,2222,40.2544594,-110.1765274,"1"
490139406003,940600,3,1942,40.4990244,-110.1021015,"1"
490139406004,940600,4,941,40.4138825,-110.3863278,"1"
490139406005,940600,5,918,40.3710632,-110.2366969,"1"
490159762001,976200,1,969,39.4562425,-111.0263878,"4"
490159762002,976200,2,745,39.289689,-110.6808579,"4"
490159762003,976200,3,1122,39.3074098,-110.9495858,"4"
490159762004,976200,4,1008,39.3326298,-110.9727123,"4"
490159763001,976300,1,1466,39.2164381,-111.0118895,"4"
490159763002,976300,2,1437,39.3016408,-111.147993,"4"
490159765001,976500,1,1104,38.8800457,-111.1278257,"4"
490159765002,976500,2,1043,39.1725065,-111.2406883,"4"
490159765003,976500,3,931,38.9049286,-110.4737236,"4"
490170003001,300,1,998,37.8226363,-112.4347928,"4"
490170003002,300,2,539,37.8713657,-112.4451639,"4"
490170003003,300,3,805,37.6947091,-112.3546234,"4"
490170004001,400,1,1335,37.9596643,-111.0922585,"4"
490170004002,400,2,1406,37.8259752,-112.0349702,"4"
490190002001,200,1,969,38.5950473,-109.5340034,"4"
490190002002,200,2,1216,38.5788773,-109.5568546,"4"
490190002003,200,3,1207,38.5903482,-109.5788002,"4"
490190002004,200,4,1284,38.5658364,-109.5421338,"4"
490190003011,301,1,980,38.521775,-109.4910196,"4"
490190003012,301,2,1490,38.517689,-109.3851545,"4"
490190003021,302,1,1620,38.5576159,-109.5422423,"4"
490190003022,302,2,903,38.9743261,-109.5734502,"4"
490211101001,110100,1,740,37.9712968,-112.8673776,"4"
490211101002,110100,2,1757,37.8455544,-112.8723241,"4"
490211101003,110100,3,1474,37.8530116,-112.8186391,"4"
490211101004,110100,4,463,37.8070047,-112.7114355,"4"
490211102011,110201,1,1911,37.7480737,-113.0645779,"4"
490211102012,110201,2,2577,37.7506718,-113.0448015,"4"
490211102021,110202,1,2052,37.7917341,-113.0890995,"4"
490211102022,110202,2,1665,37.7684877,-113.0395001,"4"
490211102023,110202,3,1577,38.0110175,-113.1563728,"4"
490211103001,110300,1,1700,37.6941604,-113.6400754,"4"
490211103002,110300,2,1994,37.7039389,-113.1473908,"4"
490211103003,110300,3,833,37.9660684,-113.6513797,"4"
490211104001,110400,1,1130,37.6765796,-113.0741534,"4"
490211104002,110400,2,1628,37.6722771,-113.0709064,"4"
490211104003,110400,3,768,37.6684709,-113.0709983,"4"
490211104004,110400,4,1505,37.6626324,-113.0755645,"4"
490211105011,110501,1,2730,37.7153589,-113.0556881,"4"
490211105012,110501,2,2451,37.7009277,-113.0715423,"4"
490211105013,110501,3,1841,37.7030946,-113.0635193,"4"
490211105021,110502,1,960,37.6887342,-113.0654899,"4"
490211105022,110502,2,2113,37.7144704,-112.988887,"4"
490211105023,110502,3,1529,37.6865069,-113.0737442,"4"
490211106011,110601,1,924,37.6757044,-113.0642623,"4"
490211106012,110601,2,1056,37.6754852,-113.0579751,"4"
490211106021,110602,1,2596,37.6578426,-113.0415194,"4"
490211106022,110602,2,1300,37.544886,-112.978247,"4"
490211106023,110602,3,855,37.6678705,-113.0617058,"4"
490211107021,110702,1,1669,37.5665761,-113.2360299,"4"
490211107022,110702,2,1763,37.6751431,-113.1408643,"4"
490211107023,110702,3,1537,37.6456212,-113.1476363,"4"
490211107024,110702,4,1640,37.652759,-113.1117125,"4"
490211107031,110703,1,2582,37.6728525,-113.0887701,"4"
490211107032,110703,2,2063,37.6745596,-113.0999455,"4"
490211107041,110704,1,1141,37.7196205,-113.0699026,"4"
490211107042,110704,2,879,37.6744647,-113.0818653,"4"
490211107043,110704,3,1886,37.718857,-113.0963928,"4"
490230101001,10100,1,1826,39.7010864,-111.8273122,"4"
490230101002,10100,2,1448,39.7080131,-111.8700254,"4"
490230101003,10100,3,940,39.7125094,-111.8284923,"4"
490230101004,10100,4,1110,39.7173657,-111.8311421,"4"
490230101005,10100,5,1329,39.6966265,-111.8372388,"4"
490230102001,10200,1,833,39.778177,-113.1214952,"4"
490230102002,10200,2,1082,39.5360701,-111.9762005,"4"
490230102003,10200,3,1745,39.7992379,-111.8482098,"4"
490230102004,10200,4,1473,39.7822009,-111.8998022,"4"
490251301001,130100,1,890,37.2750892,-111.815329,"4"
490251301002,130100,2,572,37.0682241,-111.7292029,"4"
490251301003,130100,3,930,37.2975425,-112.6044428,"4"
490251302001,130200,1,2165,37.0276504,-112.6495891,"4"
490251302002,130200,2,605,37.0535357,-112.5326866,"4"
490251302003,130200,3,1142,37.0177587,-112.5392264,"4"
490251302004,130200,4,1363,37.1465096,-112.475169,"4"
490279741001,974100,1,1434,39.3921901,-112.3541362,"4"
490279741002,974100,2,991,39.3452726,-112.5526686,"4"
490279741003,974100,3,1543,39.3641248,-112.5816988,"4"
490279741004,974100,4,1072,39.3448056,-112.5885014,"4"
490279742001,974200,1,1110,39.349015,-112.661474,"4"
490279742002,974200,2,876,39.2084405,-112.6577867,"4"
490279742003,974200,3,932,39.1211519,-113.495233,"4"
490279743001,974300,1,955,39.1516214,-112.1546156,"4"
490279743002,974300,2,1473,38.8406387,-112.7066773,"4"
490279743003,974300,3,1554,38.9515803,-112.2337894,"4"
490279743004,974300,4,1035,38.9692901,-112.3349694,"4"
490299701011,970101,1,2993,41.1821864,-111.7682975,"2"
490299701012,970101,2,2206,41.1565631,-111.469056,"2"
490299701013,970101,3,1369,41.1690809,-111.8350484,"2"
490299701021,970102,1,2569,41.0268078,-111.6155824,"2"
490299701022,970102,2,1489,41.0479825,-111.704407,"2"
490299702001,970200,1,1669,40.9251817,-111.7298232,"2"
490319601001,960100,1,766,38.2376261,-112.2831725,"4"
490319601002,960100,2,672,38.3504245,-112.0685432,"4"
490339501001,950100,1,1483,41.8920167,-111.2635446,"2"
490339501002,950100,2,1027,41.4736789,-111.2330535,"2"
490351001001,100100,1,594,40.7946113,-111.9115161,"3"
490351001002,100100,2,2393,40.775883,-111.9049681,"3"
490351002001,100200,1,1333,40.8122772,-111.8703688,"3"
490351003061,100306,1,2205,40.7767213,-111.9414826,"3"
490351003062,100306,2,2158,40.7721711,-111.9452982,"3"
490351003063,100306,3,1680,40.7826332,-111.9440975,"3"
490351003071,100307,1,1841,40.7889219,-111.945451,"3"
490351003072,100307,2,1662,40.8016233,-111.944476,"3"
490351003073,100307,3,1465,40.797844,-111.9464686,"3"
490351003081,100308,1,1915,40.7939819,-111.9379657,"3"
490351003082,100308,2,2110,40.7973077,-111.9405528,"3"
490351005001,100500,1,1079,40.7888476,-111.9211813,"3"
490351005002,100500,2,1223,40.7843495,-111.9203429,"3"
490351005003,100500,3,1136,40.7867247,-111.9276289,"3"
490351005004,100500,4,1149,40.7868679,-111.9328763,"3"
490351005005,100500,5,1306,40.7868214,-111.9146663,"3"
490351006001,100600,1,1546,40.7791039,-111.9142966,"3"
490351006002,100600,2,1193,40.7791179,-111.9218423,"3"
490351006003,100600,3,1666,40.7777416,-111.928931,"3"
490351006004,100600,4,1537,40.7743505,-111.9341218,"3"
490351006005,100600,5,757,40.7737013,-111.9149601,"3"
490351007001,100700,1,933,40.7855836,-111.8971663,"3"
490351007002,100700,2,952,40.7783583,-111.8905715,"3"
490351007003,100700,3,798,40.7789608,-111.8975805,"3"
490351008001,100800,1,872,40.7731027,-111.8889243,"3"
490351008002,100800,2,758,40.7727926,-111.8926209,"3"
490351008003,100800,3,932,40.7729802,-111.8965973,"3"
490351010001,101000,1,1146,40.7806878,-111.8676557,"3"
490351010002,101000,2,1981,40.7803212,-111.8778499,"3"
490351011011,101101,1,1046,40.7745371,-111.8753071,"3"
